FECHA;HORA;AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLÓGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION
1/1/2025;6;AU PERITO MORENO;ASCENDENTE;5000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
1/1/2025;14;AV. LUGONES;DESCENDENTE;10300;BUENO;SECA;0;0;OTRO;0;1;0;0
2/1/2025;15;AV. LUGONES;DESCENDENTE;10300;BUENO;SECA;0;0;OTRO;0;2;0;0
3/1/2025;6;AV. CANTILO;ASCENDENTE;9900;BUENO;SECA;0;0;OTRO;0;1;0;0
3/1/2025;19;AU DELLEPIANE;DESCENDENTE;4600;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
3/1/2025;22;AU 25 DE MAYO;DESCENDENTE;400;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
4/1/2025;15;AU 25 DE MAYO;ASCENDENTE;9300;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
5/1/2025;8;AU DELLEPIANE;DESCENDENTE;2400;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
6/1/2025;9;AU FRONDIZI;ASCENDENTE;1500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
7/1/2025;6;AU PERITO MORENO;ASCENDENTE;5400;BUENO;SECA;6;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
7/1/2025;14;PASEO DEL BAJO;DESCENDENTE;1200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
7/1/2025;23;AU FRONDIZI;DESCENDENTE;500;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
8/1/2025;13;AU DELLEPIANE;ASCENDENTE;3000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
8/1/2025;17;PASEO DEL BAJO;DIST. SUR - RAMAL 2;-;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;2
8/1/2025;17;AU 25 DE MAYO;DESCENDENTE;3400;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
10/1/2025;17;AU 25 DE MAYO;ASCENDENTE;8800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;0;2
10/1/2025;18;AU PERITO MORENO;DESCENDENTE;3000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
11/1/2025;5;AU PERITO MORENO;ASCENDENTE;5500;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
12/1/2025;10;AU CAMPORA;ASCENDENTE;100;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
12/1/2025;17;AV. CANTILO;ASCENDENTE;9500;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0
12/1/2025;17;AV. CANTILO;ASCENDENTE;9500;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;2;0;0
12/1/2025;20;AV. LUGONES;DESCENDENTE;4500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
12/1/2025;21;AU PERITO MORENO;ASCENDENTE;300;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
13/1/2025;10;AU PERITO MORENO;ASCENDENTE;3100;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
13/1/2025;12;AU FRONDIZI;ASCENDENTE;3300;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;3;0;0
13/1/2025;22;AV. LUGONES;DESCENDENTE;10300;BUENO;SECA;2;0;OBSTACULO NO FIJO;1;0;0;0
14/1/2025;13;PASEO DEL BAJO;DESCENDENTE;2200;BUENO;SECA;1;0;OBSTACULO NO FIJO;0;0;1;1
14/1/2025;14;PASEO DEL BAJO;DIST. NORTE - RAMAL 4;-;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;0;0;1
