FECHA;HORA;AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLÓGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION
24/1/2026;6;AU 25 DE MAYO;DESCENDENTE;6900;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
24/1/2026;8;AU FRONDIZI;DESCENDENTE;1400;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
24/1/2026;19;AU DELLEPIANE;ASCENDENTE;1000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
25/1/2026;11;AU DELLEPIANE;DESCENDENTE;3000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;4;0;0
25/1/2026;22;AU DELLEPIANE;DESCENDENTE;2500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
26/1/2026;3;AU 25 DE MAYO;ASCENDENTE;3200;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
26/1/2026;12;DIST. 9 DE JULIO;RAMAL 2 BIS;-;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;1;0;0;0
26/1/2026;13;AU ILLIA;DESCENDENTE;0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
26/1/2026;13;AU 25 DE MAYO;DESCENDENTE;7900;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0
26/1/2026;14;AV. LUGONES;DESCENDENTE;7800;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
26/1/2026;15;AU 25 DE MAYO;ASCENDENTE;5500;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0
26/1/2026;16;AU 25 DE MAYO;ASCENDENTE;2500;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
27/1/2026;14;AU 25 DE MAYO;DESCENDENTE;5400;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;0
27/1/2026;20;AU PERITO MORENO;DESCENDENTE;600;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
28/1/2026;5;AV. LUGONES;DESCENDENTE;2000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
28/1/2026;12;AU 25 DE MAYO;ASCENDENTE;8200;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
28/1/2026;18;AU FRONDIZI;DESCENDENTE;3000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
28/1/2026;21;AU DELLEPIANE;DESCENDENTE;2600;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0
28/1/2026;23;AU DELLEPIANE;DESCENDENTE;3400;BUENO;SECA;0;0;OBSTACULO NO FIJO;1;0;0;0
29/1/2026;8;AU 25 DE MAYO;ASCENDENTE;5100;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
29/1/2026;14;AU 25 DE MAYO;DESCENDENTE;5500;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
30/1/2026;17;AU 25 DE MAYO;DESCENDENTE;7100;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
31/1/2026;7;AU DELLEPIANE;DESCENDENTE;1600;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;1;0;0;0
31/1/2026;11;AU DELLEPIANE;DESCENDENTE;200;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
31/1/2026;11;AU FRONDIZI;ASCENDENTE;800;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
31/1/2026;23;PTE. SCALABRINI ORTIZ;-;-;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
